chrom	start	end	strand	type	score	motif	NH1	NH2	F73	F83	F89	F99	F137	F147	F153	F163	F329	F339	F345	F355	F393	F403	F409	F419	event	event_type	introns	location	distance_from_authentic	transcript
chrX	100043826	100165706	-	sj	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	1000448	1612222	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	1000496	1497205	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_178129.5
chrX	100053098	100137137	+	sj	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100055640	100139682	-	sj	4	2	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100055640	100165339	-	sj	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100055640	100167953	-	sj	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100111417	100280167	+	sj	3	1	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100111417	100395015	+	sj	2	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_001184880.2
chrX	100139788	100260448	-	sj	5	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100140050	100260710	-	sj	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100140741	100166393	+	sj	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100158025	100869087	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_007052.5
chrX	10015859	10016395	+	sj	1	21	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	cryptic intron 2 acceptor @ -47050	cryptic acceptor	2	intron 2	-47050	NM_015691.5
chrX	10015859	10063444	+	sj	73	21	73	0	0	46	0	0	0	0	0	27	0	0	0	0	0	0	0	0	canonical exon 2-3 splicing	canonical	2	NA	NA	NM_015691.5
chrX	100165445	100260448	-	sj	10	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100165707	100260710	-	sj	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100168059	100260448	-	sj	15	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	10018687	10021394	+	sj	12	3	12	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	unannotated intronic junction	unannotated intron	NA	intronic	NA	NM_015691.5
chrX	10018687	10030444	+	sj	6	3	6	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	unannotated intronic junction	unannotated intron	NA	intronic	NA	NM_015691.5
chrX	10018687	10046758	+	sj	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unannotated intronic junction	unannotated intron	NA	intronic	NA	NM_015691.5
chrX	1001944	1107501	+	sj	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	1001944	1603848	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	1001944	1617256	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_001171038.2
