event	event_type	introns	location	distance_from_authentic
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA
cryptic intron 2 acceptor @ -47050	cryptic acceptor	2	intron 2	-47050
canonical exon 2-3 splicing	canonical	2	NA	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intronic junction	unannotated intron	NA	intronic	NA
unannotated intronic junction	unannotated intron	NA	intronic	NA
unannotated intronic junction	unannotated intron	NA	intronic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
cryptic intron 2 donor @ +12031	cryptic donor	2	intron 2	12031
unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic/intronic junction	unannotated intron	NA	intergenic/intronic	NA
unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA
unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA
unannotated intergenic/exonic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/exonic	NA
unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
canonical exon 7-8 splicing	canonical	7	NA	NA
canonical exon 6-7 splicing	canonical	6	NA	NA
canonical exon 5-6 splicing	canonical	5	NA	NA
canonical exon 4-5 splicing	canonical	4	NA	NA
canonical exon 3-4 splicing	canonical	3	NA	NA
canonical exon 2-3 splicing	canonical	2	NA	NA
canonical exon 3-4 splicing	canonical	3	NA	NA
canonical exon 1-2 splicing	canonical	1	NA	NA
canonical exon 4-5 splicing	canonical	4	NA	NA
canonical exon 14-15 splicing	canonical	14	NA	NA
canonical exon 13-14 splicing	canonical	13	NA	NA
canonical exon 12-13 splicing	canonical	12	NA	NA
canonical exon 11-12 splicing	canonical	11	NA	NA
canonical exon 10-11 splicing	canonical	10	NA	NA
canonical exon 9-10 splicing	canonical	9	NA	NA
canonical exon 8-9 splicing	canonical	8	NA	NA
canonical exon 7-8 splicing	canonical	7	NA	NA
unannotated intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intronic	NA
canonical exon 5-6 splicing	canonical	5	NA	NA
exon 6 skipping	exon skipping	5, 6	NA	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
canonical exon 6-7 splicing	canonical	6	NA	NA
unannotated intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intronic	NA
unannotated intergenic/exonic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/exonic	NA
canonical exon 1-2 splicing	canonical	1	NA	NA
canonical exon 2-3 splicing	canonical	2	NA	NA
canonical exon 3-4 splicing	canonical	3	NA	NA
canonical exon 4-5 splicing	canonical	4	NA	NA
canonical exon 5-6 splicing	canonical	5	NA	NA
cryptic exon 6 donor @ -74	cryptic donor	6	exon 6	-74
canonical exon 6-7 splicing	canonical	6	NA	NA
alternate exon 7 acceptor @ +51 (NM_001306209.2 exon 6-7)	alternate acceptor	6	exon 7	51
canonical exon 7-8 splicing	canonical	7	NA	NA
canonical exon 8-9 splicing	canonical	8	NA	NA
alternate intron 8 donor @ +2766 (NM_001306206.2 exon 9-10)	alternate donor	8	intron 8	2766
canonical exon 9-10 splicing	canonical	9	NA	NA
canonical exon 10-11 splicing	canonical	10	NA	NA
canonical exon 11-12 splicing	canonical	11	NA	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
canonical exon 12-13 splicing	canonical	12	NA	NA
canonical exon 13-14 splicing	canonical	13	NA	NA
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
canonical exon 6-7 splicing	canonical	6	NA	NA
unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA
unannotated intergenic/exonic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/exonic	NA
cryptic intron 6 donor @ +10006	cryptic donor	6	intron 6	10006
cryptic intron 7 acceptor @ -1481	cryptic acceptor	7	intron 7	-1481
canonical exon 7-8 splicing	canonical	7	NA	NA
canonical exon 2-3 splicing	canonical	2	NA	NA
cryptic intergenic donor @ -21138	cryptic donor	NA	intergenic	-21138
cryptic intron 7 donor @ +2114	cryptic donor	7	intron 7	2114
unannotated intergenic junction	unannotated intron	NA	intergenic	NA
canonical exon 8-9 splicing	canonical	8	NA	NA
