chrom	start	end	strand	transcript	gene
chr1	75724708	75763679	+	NM_000016.6	ACADM
chr1	114673097	114695546	-	NM_000036.3	AMPD1
chr1	56929206	56966015	-	NM_000066.4	C8B
chr1	201039511	201112426	-	NM_000069.3	CACNA1S
chr1	235661040	235866906	-	NM_000081.4	LYST
chr1	16043781	16057308	+	NM_000085.5	CLCNKB
chr1	53196823	53214197	+	NM_000098.3	CPT2
chr1	97077742	97921034	-	NM_000110.4	DPYD
chr1	169511950	169586481	-	NM_000130.5	F5
chr1	241497602	241519755	-	NM_000143.4	FH
chr1	23845076	23868290	-	NM_000147.5	FUCA1
chr1	155234451	155241249	-	NM_000157.4	GBA1
chr1	196652042	196747504	+	NM_000186.4	CFH
chr1	23801884	23825429	-	NM_000191.3	HMGCL
chr1	119415149	119423034	+	NM_000198.4	HSD3B2
chr1	209614869	209652425	-	NM_000228.3	LAMB3
chr1	236795291	236903981	+	NM_000254.3	MTR
chr1	171635416	171652688	-	NM_000261.2	MYOC
chr1	155289292	155301438	-	NM_000298.6	PKLR
chr1	11934716	11975537	+	NM_000302.4	PLOD1
chr1	40072711	40097252	-	NM_000310.4	PPT1
chr1	68428821	68449954	-	NM_000329.3	RPE65
chr1	93992833	94121148	-	NM_000350.3	ABCA4
chr1	45012253	45015575	+	NM_000374.5	UROD
chr1	150796207	150808260	-	NM_000396.4	CTSK
chr1	153259686	153262124	+	NM_000427.3	LORICRIN
chr1	183555561	183590459	-	NM_000433.4	NCF2
chr1	25959766	25998063	-	NM_000437.4	PAFAH2
chr1	226870615	226896098	+	NM_000447.3	PSEN2
chr1	169722639	169734079	-	NM_000450.2	SELE
chr1	21509422	21578410	+	NM_000478.6	ALPL
chr1	173903799	173917327	-	NM_000488.4	SERPINC1
chr1	161304734	161309968	-	NM_000530.8	MPZ
chr1	204154818	204166337	-	NM_000537.4	REN
chr1	115029825	115034302	+	NM_000549.5	TSHB
chr1	110873147	110899922	+	NM_000560.4	CD53
chr1	109687816	109693745	+	NM_000561.4	GSTM1
chr1	56854796	56918223	+	NM_000562.3	C8A
chr1	154405342	154469450	+	NM_000565.4	IL6R
chr1	149782693	149791675	+	NM_000566.4	FCGR1A
chr1	159712288	159714589	-	NM_000567.3	CRP
chr1	161541758	161549818	-	NM_000569.8	FCGR3A
chr1	206767601	206772494	-	NM_000572.3	IL10
chr1	207321677	207360966	+	NM_000574.5	CD55
chr1	172659102	172666876	+	NM_000639.3	FASLG
chr1	99850360	99924020	+	NM_000642.3	AGL
