seqnames	start	end	strand	gene	event	annotated	frame_conserved	intron_no	SJ_IR	seen_in_treatment	dmso_avg_proportion	dmso_stdev	dmso_avg_reads	chx_avg_proportion	chx_stdev	chx_avg_reads	n
chr5	128278842	128280191	-	FBN2	canonical exon 56-57 splicing	canonical	TRUE	56	SJ	both	90.31%	3.22%	782.25	90.49%	3.60%	678	20
chr2	237372338	237374411	-	COL6A3	canonical exon 8-9 splicing	canonical	TRUE	8	SJ	both	89.75%	3.05%	7649.25	89.56%	3.83%	6272.35	20
chr17	31335032	31336332	+	NF1	canonical exon 40-41 splicing	canonical	TRUE	40	SJ	both	88.71%	3.34%	183.4	89.20%	3.98%	220.6	20
chr11	108282880	108284226	+	ATM	canonical exon 26-27 splicing	canonical	TRUE	26	SJ	both	90.10%	3.52%	151.5	88.48%	5.00%	121.9	20
chr16	2072984	2074199	+	TSC2	canonical exon 21-22 splicing	canonical	TRUE	21	SJ	both	88.28%	2.97%	339.05	88.24%	4.50%	293.15	20
chr17	31201160	31201410	+	NF1	canonical exon 10-11 splicing	canonical	TRUE	10	SJ	both	88.04%	4.19%	263.5	87.85%	4.62%	342.8	20
chr9	127818378	127818715	-	ENG	canonical exon 11-12 splicing	canonical	TRUE	11	SJ	both	86.94%	3.38%	2685	87.19%	3.84%	2193.4	20
chr17	31235773	31235917	+	NF1	canonical exon 28-29 splicing	canonical	TRUE	28	SJ	both	87.30%	2.79%	496.25	87.05%	3.68%	625.85	20
chr1	42927809	42928931	-	SLC2A1	canonical exon 8-9 splicing	canonical	TRUE	8	SJ	both	88.22%	2.68%	498.15	87.01%	3.71%	791.6	20
chr19	11110772	11111513	+	LDLR	canonical exon 7-8 splicing	canonical	TRUE	7	SJ	both	87.00%	2.76%	547.6	87.00%	3.26%	1861.8	20
chr15	48456763	48460245	-	FBN1	canonical exon 43-44 splicing	canonical	TRUE	43	SJ	both	87.90%	3.29%	5056.6	86.79%	4.22%	4662.1	20
chr12	40321189	40322034	+	LRRK2	canonical exon 35-36 splicing	canonical	TRUE	35	SJ	both	86.90%	7.29%	27.35	86.71%	7.44%	25.15	20
chr11	108271407	108272531	+	ATM	canonical exon 21-22 splicing	canonical	TRUE	21	SJ	both	85.71%	4.03%	213.95	86.58%	4.30%	169.5	20
chr11	108307985	108310159	+	ATM	canonical exon 39-40 splicing	canonical	TRUE	39	SJ	both	85.51%	4.80%	217	86.52%	3.98%	167.9	20
chr17	31229975	31230259	+	NF1	canonical exon 22-23 splicing	canonical	TRUE	22	SJ	both	87.02%	4.26%	391.5	86.50%	4.31%	479.1	20
chr21	45982764	45984268	+	COL6A1	canonical exon 2-3 splicing	canonical	TRUE	2	SJ	both	86.66%	3.73%	20907.2	86.36%	4.19%	17370.75	20
chr17	31336474	31336634	+	NF1	canonical exon 41-42 splicing	canonical	TRUE	41	SJ	both	86.54%	3.81%	320	86.00%	4.41%	392.8	20
chrX	41144627	41148368	+	USP9X	canonical exon 11-12 splicing	canonical	TRUE	11	SJ	both	87.03%	3.05%	898.6	85.85%	3.75%	765.8	20
chr11	108289104	108289601	+	ATM	canonical exon 29-30 splicing	canonical	TRUE	29	SJ	both	85.77%	3.39%	218.6	85.83%	4.06%	169.7	20
chr12	51916234	51918984	+	ACVRL1	canonical exon 8-9 splicing	canonical	TRUE	8	SJ	both	86.18%	2.98%	354.05	85.66%	4.08%	282.1	20
chr19	11113450	11113534	+	LDLR	canonical exon 9-10 splicing	canonical	TRUE	9	SJ	both	85.24%	3.27%	949.65	85.54%	4.39%	3121.25	20
chr14	73171048	73173565	+	PSEN1	canonical exon 4-5 splicing	canonical	TRUE	4	SJ	both	86.04%	4.35%	699.7	85.35%	4.43%	500.1	20
chrX	41166215	41167481	+	USP9X	canonical exon 16-17 splicing	canonical	TRUE	16	SJ	both	85.48%	3.50%	700.35	85.35%	4.08%	591.15	20
chr5	128287431	128288437	-	FBN2	canonical exon 53-54 splicing	canonical	TRUE	53	SJ	both	86.79%	4.67%	938.6	85.34%	4.68%	798.55	20
chr16	2085323	2086192	+	TSC2	canonical exon 36-37 splicing	canonical	TRUE	36	SJ	both	84.43%	3.64%	317	85.31%	3.54%	272.3	20
chr1	12311926	12314114	+	VPS13D	canonical exon 29-30 splicing	canonical	TRUE	29	SJ	both	86.14%	4.81%	127.1	85.27%	4.07%	119.1	20
chr16	2115626	2115991	-	PKD1	canonical exon 9-10 splicing	canonical	TRUE	9	SJ	both	86.61%	15.22%	189.6	85.25%	21.28%	113.25	20
chr12	112419126	112446275	+	PTPN11	canonical exon 1-2 splicing	canonical	TRUE	1	SJ	both	85.07%	3.94%	669.2	85.25%	4.02%	659.4	20
chrX	41188118	41189308	+	USP9X	canonical exon 25-26 splicing	canonical	TRUE	25	SJ	both	86.05%	3.77%	638.5	85.19%	3.96%	545.2	20
chr5	128364726	128366376	-	FBN2	canonical exon 17-18 splicing	canonical	TRUE	17	SJ	both	85.76%	3.26%	948.95	85.15%	4.71%	791.75	20
chr15	48483944	48485373	-	FBN1	canonical exon 30-31 splicing	canonical	TRUE	30	SJ	both	85.68%	2.95%	5727.25	85.15%	3.79%	5363.5	20
chr11	108353881	108354810	+	ATM	canonical exon 61-62 splicing	canonical	TRUE	61	SJ	both	83.74%	3.05%	206.3	85.13%	4.76%	165.65	20
chr21	46002402	46002526	+	COL6A1	canonical exon 32-33 splicing	canonical	TRUE	32	SJ	both	85.50%	3.55%	34007.25	85.08%	4.50%	28061.2	20
chr5	128446607	128464723	-	FBN2	canonical exon 6-7 splicing	canonical	TRUE	6	SJ	both	86.41%	3.34%	655.55	85.02%	4.07%	531	20
chr16	2118463	2118675	-	PKD1	canonical exon 4-5 splicing	canonical	TRUE	4	SJ	both	77.36%	8.28%	157.55	84.71%	20.79%	104.8	20
chr12	40335158	40340293	+	LRRK2	canonical exon 40-41 splicing	canonical	TRUE	40	SJ	both	85.95%	5.59%	39.55	84.69%	7.58%	41.1	20
chr19	11102787	11105219	+	LDLR	canonical exon 3-4 splicing	canonical	TRUE	3	SJ	both	83.70%	3.08%	725.9	84.65%	3.38%	2610.15	20
chrX	41229780	41230500	+	USP9X	cryptic donor ~ exon 44	alternative	TRUE	43	SJ	both	84.33%	1.56%	1598.05	84.61%	2.01%	1460.25	20
chr16	2079197	2079275	+	TSC2	canonical exon 27-28 splicing	canonical	TRUE	27	SJ	both	84.37%	3.62%	452.75	84.56%	4.13%	392.25	20
chr12	40298494	40299108	+	LRRK2	canonical exon 24-25 splicing	canonical	TRUE	24	SJ	both	81.66%	6.37%	52.35	84.39%	7.25%	44	20
